type_id,name,mean_k,f_ident,n_edges,snr_mean,snr_med
0,Am,1.0,1.0,2387,0.5608365535736084,0.5370385646820068
1,C2,3.954610333999429,0.7199543248644019,3503,25.883140563964844,10.316575050354004
2,C3,3.717257318952234,0.4221879815100154,7788,24.395282745361328,8.59181022644043
3,CT1(Lo1),7.765820642978003,0.0766497461928934,5910,93.46929931640625,60.988922119140625
4,CT1(M10),5.228355837966641,0.0863780778395552,5036,31.858488082885742,10.969423294067383
5,L1,9.233342549073818,0.2399778822228366,3617,0.5253439545631409,0.5026682019233704
6,L2,4.52882538627679,0.43412526997840173,6019,0.5019544959068298,0.5000428557395935
7,L3,3.0243639167309175,0.2803392444101773,6485,33.00615310668945,13.211061477661133
8,L4,3.5478514642246153,0.07708563952903291,9937,8.596229553222656,5.771629333496094
9,L5,5.612333213126577,0.15732059141723764,11092,8.310903549194336,0.9148930907249451
10,Lawf1,1.0,1.0,63,0.6198629140853882,0.5001932978630066
11,Lawf2,3.750165672630881,0.015904572564612324,1509,3.64711332321167,3.865591526031494
12,Mi1,10.916697842623769,0.0823045267489712,32076,41.407718658447266,15.975008010864258
13,Mi10,4.539611360239163,0.4235176880916791,4014,31.013883590698242,0.9112861156463623
15,Mi12,4.505501908825511,0.09566584325174039,4453,30.653345108032227,3.351079225540161
16,Mi13,5.502573340195574,0.02624806999485332,7772,39.221885681152344,11.212213516235352
17,Mi14,1.469387755102041,0.5306122448979592,784,9.71314525604248,0.9215512275695801
18,Mi15,4.5111906893464635,0.37332139659803043,2234,11.435708045959473,0.7588742971420288
19,Mi2,3.7268689859363433,0.015297310634098199,4053,82.68669891357422,19.428415298461914
20,Mi3,1.0,1.0,384,12.739611625671387,11.116920471191406
21,Mi4,6.136533911671925,0.14077287066246058,20288,61.238643646240234,26.025405883789062
22,Mi9,6.835302374546731,0.16604281202479823,17098,38.3037109375,19.421085357666016
23,R1,1.0,1.0,1085,30.705602645874023,6.095921516418457
24,R2,1.0,1.0,1085,25.11968231201172,6.0567946434021
25,R3,1.0,1.0,1085,28.608577728271484,5.915177345275879
26,R4,1.0,1.0,1085,19.103540420532227,6.182032108306885
27,R5,1.0,1.0,1085,20.473928451538086,5.993362903594971
28,R6,1.0,1.0,1085,16.628009796142578,5.930753231048584
29,R7,2.37566765578635,0.51513353115727,1685,42.124168395996094,10.43653392791748
30,R8,1.6204465334900118,0.6051703877790834,2553,94.59584045410156,71.83399200439453
31,T1,1.0,1.0,651,0.5275757312774658,0.4761524796485901
32,T2,10.087034912309457,0.008031470250778562,6101,26.8466796875,18.784854888916016
33,T2a,3.4065956163281723,0.10536899255982304,4973,20.950876235961914,8.84044075012207
34,T3,2.3192389006342493,0.035940803382663845,1419,54.29167175292969,24.21735954284668
35,T4a,7.973765067359962,0.03592531316473647,8462,13.627593040466309,7.858670234680176
36,T4b,14.82534755027669,0.08786610878661087,7409,9.431793212890625,8.127397537231445
37,T4c,23.368832646096973,0.045144319636001705,14066,18.81403923034668,6.755157947540283
38,T4d,8.386294334777725,0.06836783822821377,6231,9.800400733947754,4.109825611114502
39,T5a,8.652939505822209,0.05722806021016757,7042,9.497644424438477,0.9236404895782471
40,T5b,9.65996649916248,0.10758922819224327,7761,12.747008323669434,5.001939296722412
41,T5c,14.340917930766238,0.06339945546479969,10284,19.044870376586914,14.591245651245117
42,T5d,7.288448393711551,0.06596035543403965,5852,22.339292526245117,6.083935737609863
43,Tm1,6.441945288753799,0.12298339957914425,21385,14.171650886535645,5.227360725402832
44,Tm16,3.5067650676506763,0.05965559655596556,8130,15.613377571105957,3.7421746253967285
45,Tm2,6.076923076923077,0.1280769230769231,15600,12.464555740356445,5.2303266525268555
46,Tm20,4.840104849279161,0.20773263433813893,3052,44.734493255615234,12.09231185913086
47,Tm28,4.575255102040816,0.23469387755102042,1568,0.6633185744285583,0.49809128046035767
48,Tm3,10.452857604133031,0.04411527284468841,24776,11.398974418640137,1.0562455654144287
50,Tm4,7.8452305129586986,0.04399588457204449,20411,22.176959991455078,10.462535858154297
51,Tm5Y,1.0,1.0,1085,12.300687789916992,1.0472643375396729
52,Tm5a,4.636479591836735,0.021683673469387755,1568,20.4022274017334,10.981233596801758
53,Tm5b,6.180225768781627,0.30517711171662126,2569,16.761409759521484,9.411795616149902
54,Tm5c,1.5387205387205387,0.4612794612794613,1485,80.0958480834961,15.302130699157715
55,Tm9,3.193422435801171,0.17615257546178104,6659,53.83696746826172,23.417911529541016
56,TmY10,2.9650443667652593,0.3995697768217263,3719,4.595186710357666,2.329841136932373
57,TmY13,1.9400244798041615,0.397796817625459,1634,38.36021041870117,16.537891387939453
58,TmY14,4.1722428748451055,0.09938042131350681,4035,7.641817569732666,5.945148944854736
59,TmY15,17.988445863619177,0.011638166463593967,47602,18.50366973876953,8.884754180908203
60,TmY18,5.184484038604306,0.03767631774313289,5388,8.90913200378418,8.474605560302734
61,TmY3,8.114861543503196,0.10650499754219236,6103,3.4997754096984863,0.7336126565933228
62,TmY4,2.1857958148383005,0.29010779961953076,3154,30.107290267944336,10.196867942810059
63,TmY5a,2.1593559133814546,0.300388672959467,3602,34.487693786621094,10.065204620361328
64,TmY9,7.685677252106286,0.010369410239792612,3086,7.587291717529297,7.438271522521973
